"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "MDX", "JSON", "JSON with Comments", "SVG", "YAML", "Markdown", "Docker", "Prisma", "SQL", "TOML", "SCSS", "CSS", "Shell Script", "comment", "blank", "total"
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Avatar.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/BackBannerButton.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/BackBannerLink.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/DashSidebar.tsx", "TypeScript JSX", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 130
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/DefaultFallback.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 20
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/DefaultTrpcError.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/UnexpectedErrorCard.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ErrorBoundary/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/FileButton.tsx", "TypeScript JSX", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 146
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/FullscreenSpinner.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/AttachmentFileInfo.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 90
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/ImageAttachmentButton.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 77
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/ImageAttachmentButtonContext.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
